feature,importance
avg_lap_sec,3017.0
fastest_lap_sec,2719.0
qual_pos,2322.0
qual_vs_career,2256.0
laps_completed,1976.0
career_avg_finish,1795.0
career_race_count,1311.0
track_avg_finish,1238.0
pit_count,1137.0
